DepartmentID,Name,GroupName,ModifiedDate
1,"Engineering","Research and Development","04/30/18 00:00:00"
2,"Tool Design","Research and Development","04/30/18 00:00:00"
3,"Sales","Sales and Marketing","04/30/18 00:00:00"
4,"Marketing","Sales and Marketing","04/30/18 00:00:00"
5,"Purchasing","Inventory Management","04/30/18 00:00:00"
6,"Research and Development","Research and Development","04/30/18 00:00:00"
7,"Production","Manufacturing","04/30/18 00:00:00"
8,"Production Control","Manufacturing","04/30/18 00:00:00"
9,"Human Resources","Executive General and Administration","04/30/18 00:00:00"
10,"Finance","Executive General and Administration","04/30/18 00:00:00"
11,"Information Services","Executive General and Administration","04/30/18 00:00:00"
12,"Document Control","Quality Assurance","04/30/18 00:00:00"
13,"Quality Assurance","Quality Assurance","04/30/18 00:00:00"
14,"Facilities and Maintenance","Executive General and Administration","04/30/18 00:00:00"
15,"Shipping and Receiving","Inventory Management","04/30/18 00:00:00"
16,"Executive","Executive General and Administration","04/30/18 00:00:00"
