BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
1,807,1,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
2,782,995,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
3,,989,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
4,,785,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
5,,775,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
6,950,322,"03/04/20 00:00:00",,"EA ",2,3.00,"02/18/20 00:00:00"
7,984,949,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
8,775,951,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
9,822,325,"03/04/20 00:00:00",,"EA ",2,2.00,"02/18/20 00:00:00"
10,944,327,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
11,748,327,"05/04/20 00:00:00",,"EA ",2,1.00,"04/20/20 00:00:00"
12,809,328,"03/04/20 00:00:00",,"EA ",2,2.00,"02/18/20 00:00:00"
13,989,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
14,785,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
15,775,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
16,945,351,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
17,804,331,"03/04/20 00:00:00",,"EA ",3,2.00,"02/18/20 00:00:00"
18,747,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
19,811,356,"03/04/20 00:00:00",,"IN ",2,40.00,"02/18/20 00:00:00"
20,820,401,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
21,771,807,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
22,814,399,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
23,807,402,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
24,807,459,"05/04/20 00:00:00",,"EA ",2,1.00,"04/20/20 00:00:00"
25,821,490,"03/04/20 00:00:00",,"EA ",2,36.00,"02/18/20 00:00:00"
26,828,491,"03/04/20 00:00:00",,"EA ",2,36.00,"02/18/20 00:00:00"
27,944,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
28,517,497,"03/04/20 00:00:00",,"EA ",2,4.00,"02/18/20 00:00:00"
29,797,939,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
30,980,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
31,779,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
32,768,994,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
33,,974,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
34,,750,"05/04/20 00:00:00",,"EA ",0,1.00,"04/20/20 00:00:00"
35,783,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
36,997,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
37,997,949,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
38,762,948,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
39,756,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
40,789,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
41,978,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
42,981,815,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
43,786,809,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
44,750,813,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
45,786,936,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
46,750,940,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
47,981,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
48,780,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
49,769,994,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
50,966,996,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
51,,982,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
52,,781,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
53,784,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
54,998,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
55,998,949,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
56,966,951,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
57,763,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
58,757,948,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
59,790,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
60,979,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
61,966,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
62,982,815,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
63,787,809,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
64,751,813,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
65,954,947,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
66,970,806,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
67,787,936,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
68,751,940,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
69,982,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
70,781,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
71,770,994,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
72,967,996,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
73,,971,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
74,999,952,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
75,999,949,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
76,967,951,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
77,764,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
78,758,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
79,791,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
80,967,945,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
81,770,738,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
82,764,727,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
83,983,815,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
84,788,809,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
85,752,813,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
86,955,947,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
87,971,806,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
88,788,936,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
89,752,940,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
90,983,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
91,968,996,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
92,,801,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
93,968,951,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
94,958,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
95,968,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
96,993,927,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
97,753,813,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
98,956,947,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
99,972,806,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
100,533,478,"03/04/20 00:00:00",,"EA ",3,1.00,"02/18/20 00:00:00"
101,988,907,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
102,977,994,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
103,,977,"03/04/20 00:00:00",,"EA ",0,1.00,"02/18/20 00:00:00"
104,765,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
105,792,813,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
106,964,805,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
107,792,940,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
108,766,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
109,953,945,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
110,767,952,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
111,749,948,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
112,965,805,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
113,798,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
114,962,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
115,954,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
116,800,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
117,956,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
118,957,894,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
119,826,506,"03/04/20 00:00:00",,"EA ",2,2.00,"02/18/20 00:00:00"
120,821,506,"03/04/20 00:00:00",,"EA ",2,2.00,"02/18/20 00:00:00"
121,821,513,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
122,980,823,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
123,985,823,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
